first_name,last_name,party,state,twitter_handle,position
Jim,McDermott,D,WA,RepJimMcDermott,rep
Jim,McGovern,D,MA,RepMcGovern,rep
Patrick,McHenry,R,NC,PatrickMcHenry,rep
John,McHugh,R,NY,,rep
Mike,McIntyre,D,NC,RepMikeMcIntyre,rep
Howard,McKeon,R,CA,BuckMcKeon,rep
Michael,McMahon,D,NY,RepMikeMcMahon,rep
Cathy,McMorris Rodgers,R,WA,CathyMcMorris,rep
Jerry,McNerney,D,CA,RepMcNerney,rep
Kendrick,Meek,D,FL,kendrickbmeek,rep
Gregory,Meeks,D,NY,RepGregoryMeeks,rep
Charlie,Melancon,D,LA,,rep
John,Mica,R,FL,,rep
Michael,Michaud,D,ME,RepMikeMichaud,rep
Candice,Miller,R,MI,CandiceMiller,rep
Gary,Miller,R,CA,RepGaryMiller,rep
George,Miller,D,CA,AskGeorge,rep
Brad,Miller,D,NC,RepBradMiller,rep
Jeff,Miller,R,FL,,rep
Walt,Minnick,D,ID,WaltMinnick,rep
Harry,Mitchell,D,AZ,HarryEMitchell,rep
Alan,Mollohan,D,WV,,rep
Gwen,Moore,D,WI,RepGwenMoore,rep
Dennis,Moore,D,KS,,rep
James,Moran,D,VA,Jim_Moran,rep
Jerry,Moran,R,KS,JerryMoran,rep
Scott,Murphy,D,NY,,rep
Tim,Murphy,R,PA,RepTimMurphy,rep
Patrick,Murphy,D,PA,,rep
Christopher,Murphy,D,CT,senmurphyoffice,rep
John,Murtha,D,PA,,rep
Sue,Myrick,R,NC,SueMyrick,rep
Jerrold,Nadler,D,NY,RepJerryNadler,rep
Grace,Napolitano,D,CA,GraceNapolitano,rep
Richard,Neal,D,MA,RepRichardNeal,rep
Randy,Neugebauer,R,TX,RandyNeugebauer,rep
Eleanor,Norton,D,DC,EleanorNorton,rep
Devin,Nunes,R,CA,RepDevinNunes,rep
Glenn,Nye,D,VA,GlennNye,rep
James,Oberstar,D,MN,JimOberstar,rep
David,Obey,D,WI,,rep
Pete,Olson,R,TX,RepPeteOlson,rep
John,Olver,D,MA,,rep
Solomon,Ortiz,D,TX,,rep
Bill,Owens,D,NY,BillOwensNY,rep
Frank,Pallone,D,NJ,FrankPallone,rep
Bill,Pascrell,D,NJ,BillPascrell,rep
Ed,Pastor,D,AZ,PastorForAZ,rep
